url,type,verified_type,verified,username,name,id,Profile_Url,OuletPgae,full_url
thedailybeast.com,left,business,1,thedailybeast,The Daily Beast,16012783,https://twitter.com/thedailybeast,1,http://www.thedailybeast.com/
huffpost.com,left,business,1,HuffPost,HuffPost,14511951,https://twitter.com/HuffPost,1,https://www.huffpost.com/
politicususa.com,left,blue,1,politicususa,PoliticusUSA,14792049,https://twitter.com/politicususa,1,http://www.politicususa.com/
palmerreport.com,left,blue,1,PalmerReport,Palmer Report,15115280,https://twitter.com/PalmerReport,1,https://www.palmerreport.com/
motherjones.com,left,business,1,MotherJones,Mother Jones,18510860,https://twitter.com/MotherJones,1,https://www.motherjones.com/
vox.com,left,business,1,voxdotcom,Vox,2347049341,https://twitter.com/voxdotcom,1,https://www.vox.com/
vanityfair.com,left,,1,VanityFair,VANITY FAIR,15279429,https://twitter.com/VanityFair,1,https://www.vanityfair.com/
nymag.com,left,business,1,NYMag,New York Magazine,45564482,https://twitter.com/NYMag,1,https://nymag.com/
newyorker.com,left,business,1,NewYorker,The New Yorker,14677919,https://twitter.com/NewYorker,1,https://www.newyorker.com/
dailykos.com,left,,1,dailykos,Daily Kos,20818801,https://twitter.com/dailykos,1,http://www.dailykos.com/
slate.com,left,business,0,Slate,Slate,15164565,https://twitter.com/Slate,1,https://slate.com/
salon.com,left,,1,Salon,Salon,16955991,https://twitter.com/Salon,1,https://www.salon.com/
rollingstone.com,left,business,1,RollingStone,Rolling Stone,14780915,https://twitter.com/RollingStone,1,https://www.rollingstone.com/
thenation.com,left,business,1,thenation,The Nation,1947301,https://twitter.com/thenation,1,https://www.thenation.com/
alternet.org,left,,1,AlterNet,AlterNet,18851248,https://twitter.com/AlterNet,1,https://www.alternet.org/
theintercept.com,left,none,1,rdevro,Ryan Devereaux,25946632,https://twitter.com/rdevro,0,https://theintercept.com/
occupydemocrats.com,extremely biased left,blue,1,OccupyDemocrats,Occupy Democrats,878284831,https://twitter.com/OccupyDemocrats,1,https://occupydemocrats.com/
lancastercourier.com,extremely biased left,,0,LancasterCouri1,Lancaster Courier,1199400063086273024,https://twitter.com/LancasterCouri1,1,http://www.lancastercourier.com/
deepleftfield.info,extremely biased left,,0,pesachlattin,P A C E,350882124,https://twitter.com/pesachlattin,0,http://www.deepleftfield.info/
bipartisanreport.com,extremely biased left,blue,1,Bipartisanism,Bipartisan Report,487600344,https://twitter.com/Bipartisanism,1,https://bipartisanreport.com/
bossip.com,extremely biased left,none,1,Bossip,Bossip,16269666,https://twitter.com/Bossip,1,https://bossip.com/
polipace.com,extremely biased left,,0,pesachlattin,Pesach Lattin,350882124,https://twitter.com/pesachlattin,0,http://performinsiders.com
